Agent			start-main	start-agent	agent-setup	file-trans	main-exec	total-exec


Running batik:
no-agent		72.00		0.00		0.00		0.00		5256.67		5356.00
no-agent		446.67		85.00		358.00		0.00		5315.33		5793.00
empty-agent		436.67		82.33		349.33		0.00		5147.00		5615.67
file-agent		463.33		83.33		376.00		21.67		5157.67		5650.67
all-agent		466.67		90.00		372.33		0.00		5121.67		5617.00

Running biojava:
no-agent		74.67		0.00		0.00		0.00		24201.33		24312.00
no-agent		443.67		87.33		353.00		0.00		22938.00		23420.00
empty-agent		462.33		91.33		365.00		0.00		22965.67		23466.33
file-agent		466.00		87.33		374.67		21.67		22605.33		23109.00
all-agent		462.67		86.00		372.67		0.00		22598.67		23099.33
